nome;partido;uf;name_simplified
Domingos Neto;PSD;CE;domingos neto
Edilázio Júnior;PSD;MA;edilazio junior
Expedito Netto;PSD;RO;expedito netto
Flordelis;PSD;RJ;flordelis
Francisco Jr.;PSD;GO;francisco jr
Fábio Mitidieri;PSD;SE;fabio mitidieri
Fábio Trad;PSD;MS;fabio trad
Haroldo Cathedral;PSD;RR;haroldo cathedral
Hugo Leal;PSD;RJ;hugo leal
Joaquim Passarinho;PSD;PA;joaquim passarinho
Jones Moura;PSD;RJ;jones moura
José Nunes;PSD;BA;jose nunes
Júlio Cesar;PSD;PI;julio cesar
Júnior Ferrari;PSD;PA;junior ferrari
Marco Bertaiolli;PSD;SP;marco bertaiolli
Marx Beltrão;PSD;AL;marx beltrao
Misael Varella;PSD;MG;misael varella
Neucimar Fraga;PSD;ES;neucimar fraga
Otto Alencar Filho;PSD;BA;otto alencar filho
Paulo Magalhães;PSD;BA;paulo magalhaes
Paulo Vicente Caleffi;PSD;RS;paulo vicente caleffi
Pedro Augusto;PSD;RJ;pedro augusto
Pedro Augusto Palareti;PSD;RJ;pedro augusto palareti
Reinhold Stephanes Junior;PSD;PR;reinhold stephanes junior
Ricardo Guidi;PSD;SC;ricardo guidi
Sargento Fahur;PSD;PR;sargento fahur
Sidney Leite;PSD;AM;sidney leite
Stefano Aguiar;PSD;MG;stefano aguiar
Sérgio Brito;PSD;BA;sergio brito
VERMELHO;PSD;PR;vermelho
Wladimir Garotinho;PSD;RJ;wladimir garotinho
Adolfo Viana;PSDB;BA;adolfo viana
Alexandre Frota;PSDB;SP;alexandre frota
Aécio Neves;PSDB;MG;aecio neves
Beto Pereira;PSDB;MS;beto pereira
Bia Cavassa;PSDB;MS;bia cavassa
Bruna Furlan;PSDB;SP;bruna furlan
Carlos Sampaio;PSDB;SP;carlos sampaio
Celso Sabino;PSDB;PA;celso sabino
Célio Silveira;PSDB;GO;celio silveira
Daniel Trzeciak;PSDB;RS;daniel trzeciak
Danilo Forte;PSDB;CE;danilo forte
Domingos Sávio;PSDB;MG;domingos savio
Edna Henrique;PSDB;PB;edna henrique
Eduardo Barbosa;PSDB;MG;eduardo barbosa
Eduardo Cury;PSDB;SP;eduardo cury
Geovania de Sá;PSDB;SC;geovania de sa
Geraldo Resende;PSDB;MS;geraldo resende
Lucas Redecker;PSDB;RS;lucas redecker
Luiz Carlos;PSDB;AP;luiz carlos
Mara Rocha;PSDB;AC;mara rocha
Mariana Carvalho;PSDB;RO;mariana carvalho
Miguel Haddad;PSDB;SP;miguel haddad
Nilson Pinto;PSDB;PA;nilson pinto
Norma Pereira;PSDB;SC;norma pereira
Otavio Leite;PSDB;RJ;otavio leite
Paulo Abi-Ackel;PSDB;MG;paulo abi-ackel
Pedro Cunha Lima;PSDB;PB;pedro cunha lima
Pedro Vilela;PSDB;AL;pedro vilela
Rafafá;PSDB;PB;rafafa
Rodrigo de Castro;PSDB;MG;rodrigo de castro
Rose Modesto;PSDB;MS;rose modesto
Rossoni;PSDB;PR;rossoni
Ruy Carneiro;PSDB;PB;ruy carneiro
Samuel Moreira;PSDB;SP;samuel moreira
Shéridan;PSDB;RR;sheridan
Tereza Nelma;PSDB;AL;tereza nelma
Vanderlei Macris;PSDB;SP;vanderlei macris
Vitor Lippi;PSDB;SP;vitor lippi
Abou Anni;PSL;SP;abou anni
